1 4 1.0 0.0
 12.99   12.69	 0.0 1.28 0.0   0.0 0.0    0 #
 13.30   13.10   0.0 0.85 0.0   0.0 0.0    0 # 
 12.74   13.16   0.0 0.83 0.0   0.0 0.0    0 #
 13.01	 13.29	 0.0 0.39 0.0   0.0 0.0    0 # 
