1 4 1 0.0
  0.4492  -0.2769  0.0  0.00071  0.0 0.0	0.0 0.0
  -0.4110 0.0526   0.0  0.00301  0.0 0.0	0.0 0.0
  0.4532  0.3453   0.0  0.00077  0.0 0.0	0.0 0.0
  0.5820  0.0086   0.0  0.00075  0.0 0.0	0.0 0.0
