4   1.0000   20.7987   20.7881
  20.7777   20.3026 -1954.7346     0.003
  21.2273   21.0151 5186.9133     0.000
  20.3906   21.0506 3606.9604     0.000
  20.9198   21.2575 -6813.7740     0.000
