m,n
0.001,10.90909
0.001,25.45455
0.001,40
0.001,54.54545
0.001,69.09091
0.001,83.63636
0.001,98.18182
0.001,112.72727
0.001,127.27273
0.001,141.81818
0.001,156.36364
0.001,170.90909
0.001,185.45455
0.001,200
0.001,214.54545
0.001,229.09091
0.001,243.63636
0.001,258.18182
0.001,272.72727
0.001,287.27273
0.001,301.81818
0.001,316.36364
0.001,330.90909
0.001,345.45455
0.001,360
