m,n
0.001,0
0.001,14.54545
0.001,29.09091
0.001,43.63636
0.001,58.18182
0.001,72.72727
0.001,87.27273
0.001,101.81818
0.001,116.36364
0.001,130.90909
0.001,145.45455
0.001,160
0.001,174.54545
0.001,189.09091
0.001,203.63636
0.001,218.18182
0.001,232.72727
0.001,247.27273
0.001,261.81818
0.001,276.36364
0.001,290.90909
0.001,305.45455
0.001,320
0.001,334.54545
0.001,349.09091
