m,n
0.001,3.63636
0.001,18.18182
0.001,32.72727
0.001,47.27273
0.001,61.81818
0.001,76.36364
0.001,90.90909
0.001,105.45455
0.001,120
0.001,134.54545
0.001,149.09091
0.001,163.63636
0.001,178.18182
0.001,192.72727
0.001,207.27273
0.001,221.81818
0.001,236.36364
0.001,250.90909
0.001,265.45455
0.001,280
0.001,294.54545
0.001,309.09091
0.001,323.63636
0.001,338.18182
0.001,352.72727
